title,company,district,classification,work-type,description
Junior Business Analyst (Welcome for fresh grad),JFE Consulting Limited,Hong Kong Island,Business/Systems Analysts (Information & Communication Technology),Full time,"Job Responsibilities:Translate business process into system requirementLead requirement activities and document business requirements, processes, and workflows.Collaborate with the client and the development team to understand business requirements, identify opportunities for improvement, and develop solutions that meet business needs.Ensure the delivery of final products or services from the projects is to the appropriate levels of quality, on time and within budget, in accordance with the program planCoordinate and participate in customer meeting for project related purposesJob Requirements:Diploma or Degree holderFamiliar with IT environmentAt least 2 years or above experience in project management , have IT related experience will be an advantage.Good command of written Chinese and EnglishGood communication and interpersonal skills, with the ability to effectively communicate with both technical and non-technical stakeholders."
Junior Data Engineer | FinTech Industry,Techforce Group Limited,"Causeway Bay, Wan Chai District",Engineering - Software (Information & Communication Technology),Full time,"We are looking for talented Data Engineers to join a growing team for a large Data Warehouse project. You will be responsible for designing and implementing robust data pipelines, ensuring seamless information flow within the organization. Your focus will be on the deployment environment, working with multiple databases and utilizing Python-based deployment tools.If you are looking to work in a rewarding and challenging environment to accelerate your personal and professional growth as a Data Engineer, this will be a great fit for you.Responsibilities:Design and implement scalable data solutions for efficient data processing and storage.Design data model/platform allowing managed growth of the data model to minimize risk and cost of change for a large-scale data platform.Design and model the structure of the ETL pipeline, including data storage, integration, integrity checks, and reconciliation.Perform critical tasks such as running batch jobs, executing ETL tasks, and conducting performance monitoring.Maintain and enhance the deployment environment.Ensure data validity by identifying and addressing issues in data sources or within the ETL logic.Perform bug fixing to ensure reliable deployment processes.Requirements:Minimum 2 years as a Data Engineer, or related roles. More experience will be considered as a Senior Data Engineer.Strong proficiency in Python, and SQL.Experience working with Oracle, or other RDBMS (MySQL, PostgreSQL, MS SQL).Experience with Java is a nice to have.Problem-solving mindset, and ability to be a strong team player.Fluency in BOTH English and Cantonese/Mandarin is a must."
Junior Data Engineer,Rise Associates Asia Limited,Eastern District,Engineering - Software (Information & Communication Technology),Full time,"SummaryJunior Data Engineer role with a semi-governmental organization, they are hiring for a few headcounts to support the development of new projects (A.I., data dashboard, etc.).Responsibilities:Develop web portal to support system integrationPerform data preparation, cleansing and visualization dutiesLiaise with business teams and product managers to build new and scalable digital productsAssist in UAT and testing stagesRequirements:Bachelor's degree holderWith 3+ years’ application development and/or data engineering experienceFamiliar with coding languages: .NET/ Node.JS/ Python, JavaScript, SQLFamiliar with ETL, data pipeline and data model implementationStrong communicate skills in both English and ChineseGet in touch!If you’d like to talk about the opportunity in detail, feel free to get in touch at+852 9150 6662or+852 2129 0271."
Junior Business Analyst,Cityline (Hong Kong) Limited,"Kwun Tong, Kwun Tong District",Business/Systems Analysts (Information & Communication Technology),Full time,"JOB SCOPE & RESPONSIBILITIES:Work closely with both project team, IT team & clients;Work independently to gather, validate, analyze business requirements from clients;Provide the development teams with understanding of the requirements and expected behaviors, acting as the first point-of-contact for clarification;Work with the development teams to create the documents in the form of user stories, process flow diagram, business requirements spec, and functional requirement spec etc;Provide UAT support, system testing, design and write test plans, test cases based on user / product requirements;Assist Project Manager in project management and providing consultancy to client;Prepare training materials / user guides & manuals with video clips.QUALIFICATIONS & EXPERIENCE:Higher Diploma or above in Computer Science, IT or relevant disciplines;1 year of relevant experience on Business Analyst;Knowledge in JIRA and SQL are advantages;Strong capability to work with different levels of stakeholders and multiple vendors independently;Strong sense of responsibility with good analytical and problem solving skills;Determine to deliver and commit to deliverable and meeting deadline;Competence in areas such as Internet, e-commerce, security and n-tier application;Good oral and written communication skills in both English and Cantonese;Open to travel;  andA self-starter with a ‘can-do’ attitude;We offer attractive remuneration based on experience and potential,5-day work, and the opportunity to grow with an exciting company. Please apply with full resume, contact details and expected salary.Personal data will be collected for recruitment purposes and a copy of our Personal Information Collection Statement will be provided upon your request. We may transfer your personal data to other associated companies within the Lark International Group Limited which have other suitable vacancies."
Junior Business Analyst - Leading Insurance Company,TEKsystems,"Central, Central and Western District",Business/Systems Analysts (Information & Communication Technology),Full time,"Our client, a leadinginsurance company, is looking for aBusiness Analystto join their team. This Business Analyst will join there distribution channel. They are looking for detail minded business analysts to join the early stages of the project. This individual will be able to work on projects from end-to-end, great team culture with and within an agile methodology. .You should have:• Minimum 1-2 years of business analyst experience within in Insurance• Experience in web and app related projects in insurance industry is preferable• Experience in Agile methodology and ways of working• Good analytical, problem-solving and communication skills and disciplined with project scheduling• Well organized and attentive to details• Self-initiated and have a strong drive to learn• Able to clearly articulate business processes and ideas verbally (English, Cantonese & Mandarin) and in written (English & Traditional Chinese)• Ability to work independently• Degree holder in information systems, business administration or related subjectsYour new role:• Responsible for executing technical and business projects across multiple stakeholders, developing analysis to support process and project improvements• Build consensus and facilitate discussion with related stakeholders and IT development teams• Elicit user requirements, perform impact analysis, propose and document the end-to-end solutions• Define test strategy, construct test plan and manage testing team on test execution to ensure the end product meets the business objectives• Present systems training to business users• Own, investigate and resolve systems and project issuesYou will get:• Flexible Working Hours• WFH Arrangement• Open Culture• Competitive Remuneration• Medical Insurance"
Core Banking: Junior IT Business Analysts (Welcome Fresh Grad),IT Solutions Ltd.,Hong Kong,Business/Systems Analysts (Information & Communication Technology),Full time,"We are searching on behalf of a major bank for a number ofJunior IT Business AnalystsResponsibilities:Create detailed business analysis, outline problems and professional solutions to users and developersFormulate Test Plans and conduct User Acceptance TestWork closely with business users and developers to ensure effective project implementationAssist to manage IT project implementationRequirements:Degree in BBA or Computer Science or related disciplineWith or without Working experienceStrong attentions to detail and good problem-solvingStrong communications and presentation skillsGood written and spoken Chinese and EnglishFresh Graduates, or with working experience in other areas are welcome to applyBenefits:Attractive remuneration will be offered to the successful candidate.Excellent opportunity to further develop your professional skills in major banking environment.Gain expertise in the full range of operations of Payment Systems in the BankIf you are interested, please send your resume in MS Word format, specifying your availability, current and expected salaries to:jobs @itsolutions.com.hkorPlease click the Apply Now button and attach your cv in MS Word Format, specifying your availability, current and expected salaries.Personal data collected will be used for recruitment purposes only.IT Solutions Ltd.Suite 210221/F Lucky Building39 Wellington StreetCentral, Hong Kong(P.S. We do not process applications from overseas for this position)"
Data Scientist,ELEVATE Hong Kong Holdings Limited,"Quarry Bay, Eastern District","Mathematics, Statistics & Information Sciences (Science & Technology)",Full time,"RoleData ScientistLocationHong Kong or LondonOverviewThe ELEVATE Analytics team is looking for a purpose-driven and tech-enthusiast Data Scientist who wants to make an impact in the sustainability field by contributing to the improvement of sourcing practices in global supply chains.Who are we?ELEVATE is the industry leader in business-driven sustainability and supply chain services globally. We deliver holistic solutions for the full value chain. The Analytics team sits at the core of ELEVATE and is responsible for driving and delivering innovative products, practices and data-driven insights that advance our leadership position in the industry.We are a dynamic, agile and dedicated team with a track record of delivering cutting-edge analysis, products and ideas that can enable companies to understand risks in their supply chain and drive improved sustainable and responsible sourcing practices.Who are we looking for?We are looking for an experienced data scientist with a deep interest in sustainability and supply chains. This position will play a pivotal role in applying big data and machine learning algorithms to provide innovative and transformative solutions to ESG related challenges. This is exceptional opportunity for a creative and entrepreneurial individual, who is passionate about data, analytics, creative products, sustainability and is looking for a role that will have positive impact.ResponsibilitiesAnalyze structured and unstructured data and visualize findings to support the discovery of unique/actionable ESG insightsResearch and test machine-learning and theoretical data models related to major risk areas in key industries, supply chains, markets and geographiesDevelop machine learning / AI pipeline that is applicable to supply chain ESG sectorContribute to the ideation, design and evolution of existing and new analytical ESG products or services leveraging access to internal or external dataLead project delivery and account management, and demonstrate leadership skillsContribute to company data-driven culture by supporting business strategies with data and communicating results to business unitsWork closely with other team leaders across consulting and assessment businesses to achieve end-to-end data driven solutionsDeliver outputs and presentations to clientsQualificationBSc degree in Computer Science, Business and Economics, Statistics or Engineering2+ years of work experience in a relevant disciplineStrong skills in PythonExcellent understanding and experience of statistical models and machine learning algorithms such as Forecasting, Classification, Clustering, and Optimization algorithms.Strong understanding of statistic al concepts e.g. sampling, power calculation, causalityStrong knowledge of GCP or AWS platformsCritical thinker, proactive and positive attitude, team player and solutions driven.Excellent written, verbal, and cross communication skills (English)Exceptional attention to detail and a passion for qualityAbility to monitor, analyze, and manage data to meet client expectations and goalsInterest in sustainability and working on impactful data-driven solutionsPrevious experience in supply chain / sustainability / social compliance preferredAbility to work in a time critical environment and to meet deadlines."
Business Analyst / Junior Business Analyst (Finance Team),Manulife (International) Limited,"Ngau Tau Kok, Kwun Tong District",Fund Administration (Insurance & Superannuation),Full time,"This isNOTDATA /DIGITAL /IT positionMaintain and develop trusted, long-term relationship with key clients.By meeting defined goals and objectives, ensuring the result solution benefits the clients.Analyze our client needs, provide comprehensive financial and investment advice to clients including asset allocation, retirement planning, estates planning and risk management.Forecasts and analyse Manulife's fund products and performanceUnderstanding the integral parts of the business system and activitiesDetermine the high-profitable segments and able to share with clientsEstablish and maintain long-term relationships with clients and engage clients in core business analyst activitiesIdentify and recommend the high profitable segmentsMonitor and review investment portfoliosRequirements:Hong Kong citizens or work permit holder is a must, IANG/TTPS holders are welcomeUniversity graduateSelf-motivated, independent worker, excellent presentation skills with the ability to work under pressureFluent in spoken Cantonese, Putonghua and EnglishWe offer:5-days work and attractive remuneration package (HK$28K or HK$48,000) ∙ Professional training program including mentor support and  leadership workshopMedical scheme and other allowanceIncentive Trips & Overseas ConferencesExcellent career path and fast-track advancement opportunities"
Junior Business Analyst,Hays Hong Kong Limited,Central and Western District,Engineering - Software (Information & Communication Technology),Full time,"Your new roleIT Business AnalystWhat you'll need to succeedCollaborate with team members to understand organizational and operational challengesKeep up to date on the latest applications of information technologyImplement new IT operations into the company from the initial idea to the project completionDraft statistical reports that assist decision-makers in choosing the right programsManage technical difficulties, working with developers when necessaryWhat you'll get in returnBachelor's degree in Computer Science, Information Technology or a related field is required.1-2 years of relevant experience is preferredDemonstrated skills in business and technical requirements gathering, process flows and data mappingProficient in MS SQL or backend programming languageWhat you need to do nowIf you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV to[email protected]If this job isn't quite right for you, but you are looking for a new position, please contact us for a confidential discussion about your career."
Data Scientist Trainee,Orient Overseas Container Line Ltd (OOCL),"Science Park, Tai Po District","Mathematics, Statistics & Information Sciences (Science & Technology)",Full time,"Accelerate your careerExperience a taste of advanced technologies and working modulesEquip yourself with global exposure and a wide range of innovative projectsWork with a highly skilled team made up of talented individuals with amazing backgroundsYour roleBe curious and passionate in developing or enhancing machine learning and artificial intelligence algorithmsBring up your insights to dedicated projects with strong analytical and logical thinkingTransform your knowledge and ideas into enterprise solutionsEnjoy team collaboration and an open organizationWho we are looking forBachelor’s degree or above in Data Science, Statistics, Operations Research, Computer Science or related disciplinesSolid experience inartificial intelligence, Machine Learning, Data ScienceprojectsKeen to learn high programing languages: Python, R, R/shiny, Spark on Big Data & Cloud based technologies, SQL, and JavaPease send your detailed resume and expected salary by clicking ""Apply Now"".OOCL is an Equal Opportunity Employer. OOCL will retain the personal data of applicants/ unsuccessful applicants for future recruitment purpose for a period of six months. All personal data will be destroyed immediately right after the abovesaid period."
